folder,epoch,filename,vehicle_id,distance,pitch,yaw,baseline_conf,baseline_detected,patched_conf,patched_detected,conf_drop,evasion_success
noise_checkpoints,0,13817.png,vehicle.toyota.prius,5.0,30.0,0.0,0.245027,0,0.42963,1,-0.184603,0
noise_checkpoints,0,05366.png,vehicle.audi.tt,5.0,30.0,300.0,0.89742,1,0.851891,1,0.045529,0
noise_checkpoints,0,01011.png,vehicle.tesla.model3,7.0,30.0,120.0,0.851776,1,0.845301,1,0.006475,0
noise_checkpoints,0,12213.png,vehicle.toyota.prius,5.0,30.0,330.0,0.53199,1,0.39884,1,0.13315,0
noise_checkpoints,0,06042.png,vehicle.audi.tt,7.0,30.0,300.0,0.946797,1,0.835481,1,0.111316,0
noise_checkpoints,0,20154.png,vehicle.nissan.patrol,5.0,30.0,330.0,0.40778,1,0.323244,1,0.084536,0
noise_checkpoints,0,12962.png,vehicle.toyota.prius,5.0,30.0,210.0,0.590029,1,0.160811,0,0.429218,1
noise_checkpoints,0,09130.png,vehicle.audi.tt,7.0,30.0,150.0,0.622592,1,0.056421,0,0.566171,1
noise_checkpoints,0,07709.png,vehicle.audi.tt,5.0,30.0,0.0,0.611022,1,0.363112,1,0.24791,0
noise_checkpoints,0,09310.png,vehicle.audi.tt,5.0,30.0,150.0,0.524018,1,0.007644,0,0.516374,1
noise_checkpoints,0,15665.png,vehicle.seat.leon,7.0,30.0,30.0,0.905421,1,0.786696,1,0.118725,0
noise_checkpoints,0,18579.png,vehicle.seat.leon,7.0,30.0,210.0,0.783996,1,0.841411,1,-0.057415,0
noise_checkpoints,0,18682.png,vehicle.seat.leon,7.0,30.0,60.0,0.890041,1,0.356716,1,0.533325,0
noise_checkpoints,0,03141.png,vehicle.tesla.model3,7.0,30.0,330.0,0.872477,1,0.371807,1,0.50067,0
noise_checkpoints,0,11276.png,vehicle.toyota.prius,7.0,30.0,300.0,0.406588,1,0.713241,1,-0.306653,0
noise_checkpoints,0,00437.png,vehicle.tesla.model3,5.0,30.0,60.0,0.611562,1,0.042139,0,0.569423,1
noise_checkpoints,0,01872.png,vehicle.tesla.model3,7.0,30.0,300.0,0.390433,1,0.011598,0,0.378835,1
noise_checkpoints,0,05926.png,vehicle.audi.tt,7.0,30.0,30.0,0.881789,1,0.345035,1,0.536754,0
noise_checkpoints,0,10374.png,vehicle.toyota.prius,5.0,30.0,60.0,0.918876,1,0.821249,1,0.097627,0
noise_checkpoints,0,14891.png,vehicle.seat.leon,5.0,30.0,0.0,0.666191,1,0.297137,1,0.369054,0
noise_checkpoints,0,23779.png,vehicle.nissan.patrol,5.0,30.0,240.0,0.826943,1,0.644074,1,0.182869,0
noise_checkpoints,0,04425.png,vehicle.tesla.model3,7.0,30.0,120.0,0.918316,1,0.8094,1,0.108916,0
noise_checkpoints,0,09091.png,vehicle.audi.tt,5.0,30.0,60.0,0.466643,1,0.102589,0,0.364054,1
noise_checkpoints,0,01404.png,vehicle.tesla.model3,5.0,30.0,90.0,0.871684,1,0.918692,1,-0.047008,0
noise_checkpoints,0,01017.png,vehicle.tesla.model3,7.0,30.0,300.0,0.903636,1,0.416789,1,0.486847,0
noise_checkpoints,0,14394.png,vehicle.toyota.prius,7.0,30.0,90.0,0.900827,1,0.887356,1,0.013471,0
noise_checkpoints,0,23140.png,vehicle.nissan.patrol,5.0,30.0,210.0,0.777138,1,0.719986,1,0.057152,0
noise_checkpoints,0,11925.png,vehicle.toyota.prius,7.0,30.0,330.0,0.829942,1,0.668913,1,0.161029,0
noise_checkpoints,0,09412.png,vehicle.audi.tt,5.0,30.0,150.0,0.909043,1,0.85516,1,0.053883,0
noise_checkpoints,0,06253.png,vehicle.audi.tt,7.0,30.0,240.0,0.924631,1,0.818338,1,0.106293,0
noise_checkpoints,0,11555.png,vehicle.toyota.prius,5.0,30.0,30.0,0.58467,1,0.339271,1,0.245399,0
noise_checkpoints,0,11771.png,vehicle.toyota.prius,5.0,30.0,30.0,0.689883,1,0.174167,0,0.515716,1
noise_checkpoints,0,04861.png,vehicle.audi.tt,7.0,30.0,240.0,0.838328,1,0.551918,1,0.28641,0
noise_checkpoints,0,21685.png,vehicle.nissan.patrol,7.0,30.0,300.0,0.755601,1,0.196795,0,0.558806,1
noise_checkpoints,0,16388.png,vehicle.seat.leon,5.0,30.0,270.0,0.932532,1,0.915578,1,0.016954,0
noise_checkpoints,0,23921.png,vehicle.nissan.patrol,7.0,30.0,180.0,0.412208,1,0.313649,1,0.098559,0
noise_checkpoints,0,13390.png,vehicle.toyota.prius,5.0,30.0,150.0,0.565019,1,0.56728,1,-0.002261,0
noise_checkpoints,0,21464.png,vehicle.nissan.patrol,7.0,30.0,120.0,0.787563,1,0.734842,1,0.052721,0
noise_checkpoints,0,10629.png,vehicle.toyota.prius,7.0,30.0,150.0,0.867795,1,0.477869,1,0.389926,0
noise_checkpoints,0,12785.png,vehicle.toyota.prius,7.0,30.0,300.0,0.93493,1,0.819833,1,0.115097,0
noise_checkpoints,0,08362.png,vehicle.audi.tt,5.0,30.0,150.0,0.68206,1,0.342096,1,0.339964,0
noise_checkpoints,0,02466.png,vehicle.tesla.model3,5.0,30.0,150.0,0.67938,1,0.371644,1,0.307736,0
noise_checkpoints,0,00687.png,vehicle.tesla.model3,7.0,30.0,90.0,0.901749,1,0.905985,1,-0.004236,0
noise_checkpoints,0,20509.png,vehicle.nissan.patrol,7.0,30.0,210.0,0.768659,1,0.874513,1,-0.105854,0
noise_checkpoints,0,10599.png,vehicle.toyota.prius,5.0,30.0,330.0,0.650134,1,0.207234,0,0.4429,1
noise_checkpoints,0,09948.png,vehicle.toyota.prius,5.0,30.0,240.0,0.926906,1,0.725996,1,0.20091,0
noise_checkpoints,0,23989.png,vehicle.nissan.patrol,5.0,30.0,60.0,0.776918,1,0.446597,1,0.330321,0
